14 01 14  01 15 02  38478
14 01 14  01 15 32  38482
14 01 14  01 16 03  38481
14 01 14  01 16 33  38489
14 01 14  01 17 03  38490
14 01 14  01 17 33  38495
14 01 14  01 18 02  38494
14 01 14  01 18 32  38505
14 01 14  01 19 02  38506
14 01 14  01 19 32  38502
14 01 14  01 20 02  38501
14 01 14  01 20 32  38502
14 01 14  01 21 02  38510
14 01 14  01 21 32  38512
14 01 14  01 22 03  38516
14 01 14  01 22 33  38509
14 01 14  01 23 03  38511
14 01 14  01 23 33  38520
14 01 14  01 24 03  38517
14 01 14  01 24 33  38513
14 01 14  01 25 02  38515
14 01 14  01 25 32  38521
14 01 14  01 26 02  38521
14 01 14  01 26 32  38519
14 01 14  01 27 02  38527
14 01 14  01 27 32  38528
14 01 14  01 28 02  38531
14 01 14  01 28 32  38529
14 01 14  01 29 03  38540
14 01 14  01 29 33  38541
14 01 14  01 30 03  38539
14 01 14  01 30 33  38529
14 01 14  01 31 02  38538
14 01 14  01 31 33  38538
14 01 14  01 32 02  38538
14 01 14  01 32 32  38543
14 01 14  01 33 02  38545
14 01 14  01 33 32  38536
14 01 14  01 34 02  38539
14 01 14  01 34 32  38538
14 01 14  01 35 03  38550
14 01 14  01 35 33  38544
14 01 14  01 36 03  38540
14 01 14  01 36 33  38539
14 01 14  01 37 03  38545
14 01 14  01 37 33  38542
14 01 14  01 38 02  38542
14 01 14  01 38 32  38545
14 01 14  01 39 02  38551
14 01 14  01 39 32  38565
14 01 14  01 40 02  38558
14 01 14  01 40 32  38572
14 01 14  01 41 02  38560
14 01 14  01 41 32  38580
14 01 14  01 42 03  38583
14 01 14  01 42 33  38584
14 01 14  01 43 03  38592
14 01 14  01 43 33  38601
14 01 14  01 44 02  38595
14 01 14  01 44 32  38595
14 01 14  01 45 02  38607
14 01 14  01 45 32  38610
14 01 14  01 46 02  38607
14 01 14  01 46 32  38619
14 01 14  01 47 02  38617
14 01 14  01 47 32  38612
14 01 14  01 48 03  38617
14 01 14  01 48 33  38633
14 01 14  01 49 03  38627
14 01 14  01 49 33  38621
14 01 14  01 50 03  38624
14 01 14  01 50 33  38622
14 01 14  01 51 02  38633
14 01 14  01 51 32  38638
14 01 14  01 52 02  38635
14 01 14  01 52 32  38637
14 01 14  01 53 02  38633
14 01 14  01 53 32  38629
14 01 14  01 54 02  38638
