14 07 26  01 48 01  17885  ?  61209  -4541.85  ?  13.72 
14 07 26  01 48 31  17884  ?  61204  -4542.15  ?  13.72 
14 07 26  01 49 01  17887  ?  61208  -4541.24  ?  13.72 
14 07 26  01 49 31  17879  ?  61206  -4543.68  ?  13.72 
14 07 26  01 50 01  17881  ?  61210  -4543.07  ?  13.72 
14 07 26  01 50 31  17876  ?  61206  -4544.59  ?  13.72 
14 07 26  01 51 01  17880  ?  61210  -4543.37  ?  13.72 
14 07 26  01 51 31  17877  ?  61205  -4544.29  ?  13.72 
14 07 26  01 52 01  17872  ?  61205  -4545.82  ?  13.72 
14 07 26  01 52 31  17872  ?  61203  -4545.82  ?  13.72 
14 07 26  01 53 01  17866  ?  61210  -4547.65  ?  13.72 
14 07 26  01 53 31  17863  ?  61206  -4548.56  ?  13.72 
14 07 26  01 54 01  17863  ?  61211  -4548.56  ?  13.72 
14 07 26  01 54 31  17860  ?  61203  -4549.48  ?  13.72 
14 07 26  01 55 01  17856  ?  61209  -4550.70  ?  13.72 
14 07 26  01 55 31  17860  ?  61205  -4549.48  ?  13.72 
14 07 26  01 56 01  17853  ?  61211  -4551.61  ?  13.72 
14 07 26  01 56 31  17850  ?  61206  -4552.53  ?  13.72 
14 07 26  01 57 01  17847  ?  61213  -4553.44  ?  13.72 
14 07 26  01 57 31  17842  ?  61207  -4554.97  ?  13.72 
14 07 26  01 58 01  17847  ?  61212  -4553.44  ?  13.72 
14 07 26  01 58 31  17843  ?  61205  -4554.67  ?  13.72 
14 07 26  01 59 01  17840  ?  61210  -4555.58  ?  13.72 
14 07 26  01 59 31  17833  ?  61206  -4557.72  ?  13.72 
14 07 26  02 00 02  17831  ?  61210  -4558.33  ?  13.72 
14 07 26  02 00 32  17829  ?  61206  -4558.94  ?  13.72 
14 07 26  02 01 01  17830  ?  61210  -4558.63  ?  13.72 
14 07 26  02 01 31  17827  ?  61205  -4559.55  ?  13.72 
14 07 26  02 02 01  17829  ?  61210  -4558.94  ?  13.72 
14 07 26  02 02 31  17825  ?  61204  -4560.16  ?  13.72 
14 07 26  02 03 01  17821  ?  61210  -4561.38  ?  13.72 
14 07 26  02 03 31  17816  ?  61204  -4562.91  ?  13.72 
14 07 26  02 04 01  17815  ?  61208  -4563.21  ?  13.72 
14 07 26  02 04 31  17809  ?  61206  -4565.04  ?  13.72 
14 07 26  02 05 01  17808  ?  61210  -4565.35  ?  13.72 
14 07 26  02 05 31  17800  ?  61204  -4567.79  ?  13.72 
14 07 26  02 06 01  17800  ?  61210  -4567.79  ?  13.72 
14 07 26  02 06 31  17801  ?  61206  -4567.48  ?  13.72 
14 07 26  02 07 02  17797  ?  61210  -4568.70  ?  13.72 
14 07 26  02 07 32  17794  ?  61206  -4569.62  ?  13.72 
14 07 26  02 08 01  17787  ?  61210  -4571.76  ?  13.72 
14 07 26  02 08 31  17782  ?  61202  -4573.28  ?  13.72 
14 07 26  02 09 01  17782  ?  61205  -4573.28  ?  13.72 
14 07 26  02 09 31  17780  ?  61202  -4573.89  ?  13.72 
14 07 26  02 10 01  17783  ?  61208  -4572.98  ?  13.72 
14 07 26  02 10 31  17777  ?  61206  -4574.81  ?  13.72 
14 07 26  02 11 01  17774  ?  61210  -4575.72  ?  13.72 
14 07 26  02 11 31  17771  ?  61203  -4576.64  ?  13.72 
14 07 26  02 12 01  17767  ?  61210  -4577.86  ?  13.72 
14 07 26  02 12 31  17765  ?  61205  -4578.47  ?  13.72 
14 07 26  02 13 02  17764  ?  61209  -4578.77  ?  13.72 
14 07 26  02 13 32  17762  ?  61206  -4579.39  ?  13.72 
14 07 26  02 14 02  17755  ?  61211  -4581.52  ?  13.72 
14 07 26  02 14 32  17754  ?  61205  -4581.83  ?  13.72 
14 07 26  02 15 01  17752  ?  61211  -4582.44  ?  13.72 
14 07 26  02 15 31  17749  ?  61205  -4583.35  ?  13.72 
